	id	title	all_artists	popularity	release_date	danceability	energy	key	loudness	mode	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature
275	6KuXb26rHuRy3ZDse1VRmx	Where This Flower Blooms (feat. Frank Ocean)	Frank Ocean	71	2017-07-21	0.686	0.429	8	-10.402	0	0.71	3.41e-06	0.166	0.27	130.09	194933	4
276	4KgTrzmfiWNcVneh2Dd1Ou	Sometimes...	Tyler, The Creator	60	2017-07-21	0.552	0.415	3	-11.996	1	0.959	0.000239	0.164	0.36	72.862	36160	4
277	7KA4W4McWYRpgf0fWsJZWB	See You Again (feat. Kali Uchis)	Kali Uchis	86	2017-07-21	0.558	0.559	6	-9.222	1	0.371	7.49e-06	0.109	0.62	78.558	180387	4
278	21yRtB6B8EMounImAfHRCP	Who Dat Boy (feat. A$AP Rocky)	A$AP Rocky	69	2017-07-21	0.706	0.485	8	-9.671	1	0.337	0.0	0.122	0.144	115.414	205093	4
279	5SxlUF7J8tyFIEF22EomeP	Pothole (feat. Jaden Smith)	Jaden	64	2017-07-21	0.543	0.572	11	-8.974	1	0.51	7.23e-06	0.28	0.569	89.386	237000	4
280	6ACiYjq5Q7e6BlhZEHz7cd	Garden Shed (feat. Estelle)	Estelle	66	2017-07-21	0.423	0.456	2	-8.45	0	0.381	0.016	0.12	0.148	112.984	223947	4
281	5WNYg3usc6H8N3MBEp4zVk	Boredom (feat. Rex Orange County & Anna of the North)	Anna of the North	71	2017-07-21	0.559	0.578	8	-9.54	1	0.79	0.000522	0.324	0.239	79.938	320720	4
282	430qNtapCS3Ue1yoSql1oV	I Ain't Got Time!	Tyler, The Creator	64	2017-07-21	0.549	0.725	1	-7.239	1	0.0539	3.52e-05	0.148	0.547	108.822	206267	4
283	4bEcoz1OcfMgUbp2ft8ieQ	911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy)	Steve Lacy	74	2017-07-21	0.48	0.61	0	-7.042	1	0.0456	0.0	0.313	0.297	90.034	255653	4
284	39u2PsqrAZpZ0KPx6CjasV	Droppin' Seeds (feat. Lil' Wayne)	Lil Wayne	65	2017-07-21	0.401	0.532	5	-11.554	0	0.103	0.0	0.478	0.413	84.777	60000	4
285	4XDpeWqPADoWRKcUY3dC84	November	Tyler, The Creator	65	2017-07-21	0.547	0.759	1	-7.039	0	0.354	2.15e-05	0.676	0.575	91.85	225347	4
286	0qtK3XwbuG153dmwB8iepL	Glitter	Tyler, The Creator	71	2017-07-21	0.449	0.434	1	-11.777	1	0.306	2.76e-06	0.633	0.371	78.57	224893	5
287	3R1Vu4Ws7UitwDxDHTol0P	Enjoy Right Now, Today	Tyler, The Creator	58	2017-07-21	0.729	0.675	1	-6.008	1	0.037	0.847	0.0891	0.654	162.126	235400	4
288	3V0PgcsUMlAGXwCD0084pY	pink diamond	Charli XCX	52	2020-05-15	0.675	0.787	11	-2.468	0	0.0693	0.0	0.0494	0.647	140.959	124067	4
289	5GsJIVCBFjhCcUwJaTW2sB	forever	Charli XCX	52	2020-05-15	0.577	0.927	1	-3.195	0	0.578	0.0	0.116	0.462	87.389	243672	4
290	7Dexi5Z2IowCkHrnzlWysc	claws	Charli XCX	56	2020-05-15	0.707	0.771	10	-4.246	1	0.036	6.87e-05	0.547	0.629	135.049	149390	4
291	4jQDJPgw3qkc1T2f1safdy	7 years	BJ Burton	47	2020-05-15	0.671	0.786	11	-2.211	1	0.343	1.21e-06	0.345	0.659	160.054	195027	4
292	1M6VHCglQ2PLWeAsyhgEUH	detonate	Charli XCX	50	2020-05-15	0.648	0.74	5	-6.188	1	0.45	0.000145	0.104	0.68	140.026	219427	4
293	51qNCY0lUymE88LPDUqFXd	enemy	Charli XCX	46	2020-05-15	0.69	0.661	4	-4.274	0	0.00449	0.00389	0.154	0.222	91.519	222991	4
294	2PBcNVg8jB1e5kVkjXJyZ5	i finally understand	Charli XCX	46	2020-05-15	0.809	0.666	1	-4.977	1	0.167	0.00829	0.0769	0.762	160.022	151804	4
295	5gNTRfMRPZg1U07j7KSSaG	c2.0	Charli XCX	45	2020-05-15	0.435	0.588	4	-8.024	1	0.404	0.0	0.0897	0.688	85.052	220933	4
296	2RdEC8Ff83WkX7kDVCHseE	party 4 u	Charli XCX	51	2020-05-15	0.579	0.522	1	-8.393	1	0.761	1.41e-05	0.655	0.245	79.453	296653	4
297	2ljvO8ZpKFMT3HXwCjW4Yw	anthems	Charli XCX	51	2020-05-15	0.643	0.866	9	-4.364	1	0.00224	5.69e-06	0.218	0.391	149.887	171813	4
298	5oZIhePTCzvWskktjYgdjr	visions	Charli XCX	46	2020-05-15	0.677	0.786	9	-6.587	1	0.00136	5.45e-05	0.326	0.28	139.917	229587	4
299	0vlTyXdxncOF0RRKTMWfpo	The Illest Villains	MF DOOM	0	2004-03-24	0.41	0.817	6	-9.217	1	0.55	0.008	0.422	0.335	101.611	115360	5
300	5jAvbp8kEnRPToi4Bzcvzt	Accordion	MF DOOM	0	2004-03-24	0.578	0.631	9	-6.518	0	0.0243	0.0	0.0665	0.716	96.332	118853	4
301	60PZUWKsJC52uXaPlPcEVf	Meat Grinder	MF DOOM	0	2004-03-24	0.571	0.717	6	-8.333	1	0.359	3.12e-06	0.797	0.881	87.54	131867	4
302	685wafKZSIbPoZeuzDvcWs	Bistro	MF DOOM	0	2004-03-24	0.381	0.592	7	-10.879	1	0.446	0.0	0.534	0.673	84.974	67520	1
303	1P3eYnB5KiF4S2qZ7iQnOP	Raid	MED	0	2004-03-24	0.419	0.871	11	-6.432	0	0.715	0.0	0.211	0.577	201.451	150520	4
304	4BtGch9Jl7HIehy9dK9UzR	America's Most Blunted	Quasimoto	0	2004-03-24	0.624	0.896	9	-7.915	1	0.349	0.0	0.969	0.652	95.97	234040	4
305	3HdrN4xHTPhxQGdTSo2spQ	Sickfit	MF DOOM	0	2004-03-24	0.639	0.957	2	-7.864	0	0.00831	0.853	0.203	0.187	95.033	81880	4
306	4x8vLLF0UI953H5Z0p2Rwo	Rainbows	MF DOOM	0	2004-03-24	0.449	0.7	4	-9.277	0	0.048	0.104	0.873	0.41	94.072	171840	4
307	5l7tdLI34MnxnNyd2nhNIk	Curls	MF DOOM	0	2004-03-24	0.533	0.724	7	-8.954	0	0.275	4.59e-06	0.118	0.504	89.862	95507	4
308	0drokAUhKfiMnu20UKQnFZ	Do Not Fire!	MF DOOM	0	2004-03-24	0.32	0.687	4	-11.245	1	0.00823	0.0393	0.166	0.73	88.251	52827	4
309	7dZanttu013xDQlAJprAZC	Money Folder	MF DOOM	0	2004-03-24	0.679	0.724	8	-9.265	1	0.524	2.38e-05	0.765	0.874	92.585	182800	4
310	0QLyUmGkzS5BnNjjx8e6QD	Shadows of Tomorrow	Quasimoto	0	2004-03-24	0.413	0.851	1	-8.07	1	0.179	0.0	0.442	0.406	96.576	156187	4
311	6xSBcheWUUOJPAf0mQTQ80	Operation Lifesaver aka Mint Test	MF DOOM	0	2004-03-24	0.273	0.67	7	-10.202	1	0.132	0.00191	0.666	0.721	183.17	90133	4
312	43M5EZXbN0RhqEyZRoswyI	Figaro	MF DOOM	0	2004-03-24	0.836	0.812	2	-6.985	1	0.188	1.82e-06	0.0982	0.769	92.009	145707	4
313	6lJrqw2e6YNXZCUsXL1SKn	Hardcore Hustle	Wildchild	0	2004-03-24	0.578	0.84	10	-7.435	0	0.482	0.0	0.48	0.529	95.565	81920	4
314	72Pf3VRjCGRpnhCthX2oYk	Strange Ways	MF DOOM	0	2004-03-24	0.321	0.807	4	-9.876	0	0.723	0.0	0.466	0.561	89.811	111667	4
315	6WnYONkaYOchkMXUz0Eu0W	Fancy Clown	Viktor Vaughn	0	2004-03-24	0.537	0.753	8	-9.441	1	0.328	1.52e-05	0.368	0.693	90.292	115827	4
316	5r0HHLwjuJkcwa4FZJNjh7	Eye	Stacy Epps	0	2004-03-24	0.408	0.529	10	-9.503	0	0.093	0.0317	0.231	0.604	187.424	117773	4
317	2hhwbQWk0RDQM5luQF6f51	Supervillain Theme	MF DOOM	0	2004-03-24	0.495	0.642	1	-10.577	1	0.00648	0.539	0.411	0.688	174.888	52720	4
318	1Y2ExJJ9Dmb9po8K0ybSj3	All Caps	MF DOOM	0	2004-03-24	0.358	0.889	1	-8.045	1	0.266	1.46e-05	0.172	0.666	85.61	130480	4
319	3mZFf3Ru4er3cBfzWq72Ol	Great Day	MF DOOM	0	2004-03-24	0.428	0.69	11	-8.205	0	0.686	0.000127	0.498	0.688	86.163	136920	4
320	0F8FJjvopb8WYgRXb5Qb9F	Rhinestone Cowboy	MF DOOM	0	2004-03-24	0.31	0.692	0	-7.227	1	0.298	0.00158	0.321	0.404	142.388	239827	3
